name,n
Reemo,32
Braien,32
Tjorven,9
Mery-Liis,8
Neil,17
Janary,8
Sirely,12
Li,37
Omar,80
Elise,318
Raimo,845
Janno,1305
Alondra,31
Herly,6
Agathe,23
Galina,8606
Marko,3880
Avelin,18
Alle,13
Marje,1228
Pille,2545
Yuriy,59
Vladislavs,22
Eva-Maria,165
Sabiine,7
Hildegard,77
Severi,11
Aet,275
Loide,7
Saamuel,56
Edgars,59
Liy,12
Rika,49
Gris,8
Keivo,13
Christjan,17
Arne,848
Piret,3503
Hallar,23
Sondra,8
Mustafa,10
Merly,65
Andželika,36
Angelo,10
Ellinor,23
Pirje,77
Veronika,2112
Viivian,26
Mihael,12
Steffen,20
Iosif,24
Kamil,27
Getlin,50
Janeli,293
Amelie,20
Heleene,61
Arkady,43
Zhanetta,8
Cristiana,7
Helle,2214
Liset,41
Tauro,7
Jevgeni,3842
Beatriz,12
Guldar,9
Leopold,36
Karit,51
Valerij,12
Zoya,454
Roosa,25
Malle,3106
